hs6,description
620520,"shirts; men's or boys', of cotton (not knitted or crocheted)"
620530,"shirts; men's or boys', of man-made fibres (not knitted or crocheted)"
620590,"shirts; men's or boys', of textile materials n.e.c. in heading no. 6205 (not knitted or crocheted)"
620610,"blouses, shirts and shirt-blouses; women's or girls', of silk or silk waste (not knitted or crocheted)"
620620,"blouses, shirts and shirt-blouses; women's or girls', of wool or fine animal hair (not knitted or crocheted)"
620630,"blouses, shirts and shirt-blouses; women's or girls', of cotton (not knitted or crocheted)"
620640,"blouses, shirts and shirt-blouses; women's or girls', of man-made fibres (not knitted or crocheted)"
620690,"blouses, shirts and shirt-blouses; women's or girls', of textile materials n.e.c. in heading no. 6206 (not knitted or crocheted)"
620711,"underpants and briefs; men's or boys', of cotton (not knitted or crocheted)"
620719,"underpants and briefs; men's or boys', of textile materials other than cotton (not knitted or crocheted)"
620721,"nightshirts and pyjamas; men's or boys', of cotton (not knitted or crocheted)"
620722,"nightshirts and pyjamas; men's or boys', of man-made fibres (not knitted or crocheted)"
620729,"nightshirts and pyjamas; men's or boys', of textile materials other than cotton or man-made fibres (not knitted or crocheted)"
620791,"singlets and other vests, bathrobes, dressing gowns and similar articles; men's or boys', of cotton (not knitted or crocheted)"
620799,"singlets and other vests, bathrobes, dressing gowns and similar articles; men's or boys', of textile materials other than cotton (not knitted or crocheted)"
620811,"slips and petticoats; women's or girls', of man-made fibres (not knitted or crocheted)"
620819,"slips and petticoats; women's or girls', of textile materials other than man-made fibres (not knitted or crocheted)"
620821,"nightdresses and pyjamas; women's or girls', of cotton (not knitted or crocheted)"
620822,"nightdresses and pyjamas; women's or girls', of man-made fibres (not knitted or crocheted)"
620829,"nightdresses and pyjamas; women's or girls', of textile materials other than cotton or man-made fibres (not knitted or crocheted)"
620891,"singlets and other vests, briefs, panties, negligees, bathrobes, dressing gowns and similar articles; women's or girls', of cotton (not knitted or crocheted)"
620892,"singlets and other vests, briefs, panties, negligees, bathrobes, dressing gowns etc.; women's or girls', of man-made fibres (not knitted or crocheted), excluding incontinence or other sanitary garments or garment liners of heading no. 96.19"
620899,"singlets and other vests, briefs, panties, negligees, bathrobes, dressing gowns and similar articles; women's or girls', of textile materials other than cotton or man-made fibres (not knitted or crocheted)"
620920,"garments and clothing accessories; babies', of cotton (not knitted or crocheted)"
620930,"garments and clothing accessories; babies', of synthetic fibres (not knitted or crocheted)"
620990,"garments and clothing accessories; babies', of textile materials other than cotton or synthetic fibres (not knitted or crocheted)"
621010,garments; of felt or non-wovens (not knitted or crocheted)
621020,"garments; overcoats, raincoats, car-coats, capes, cloaks, anoraks (including ski-jackets) and similar articles, men's or boys', of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)"
621030,"garments; overcoats, raincoats, car-coats, capes, cloaks, anoraks (including ski-jackets) and similar articles, women's or girls', of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)"
621040,"garments; men's or boys', n.e.c. in item no. 6210.2, of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)"
621050,"garments; women's or girls', n.e.c. in item no. 6210.3, of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)"
621111,"swimwear; men's or boys', (not knitted or crocheted)"
621112,"swimwear; women's or girls', (not knitted or crocheted)"
621120,ski suits; (not knitted or crocheted)
621132,"track suits and other garments n.e.c.; men's or boys', of cotton (not knitted or crocheted)"
621133,"track suits and other garments n.e.c.; men's or boys', of man-made fibres (not knitted or crocheted)"
621139,"track suits and other garments n.e.c.; men's or boys', of textile materials n.e.c. in item no. 6211.3 (not knitted or crocheted)"
621142,"track suits and other garments n.e.c.; women's or girls', of cotton (not knitted or crocheted)"
621143,"track suits and other garments n.e.c.; women's or girls', of man-made fibres (not knitted or crocheted)"
621149,"track suits and other garments n.e.c.; women's or girls', of textile materials n.e.c. in item no. 6211.4 (not knitted or crocheted)"
621210,brassieres; whether or not knitted or crocheted
621220,girdles and panty-girdles; whether or not knitted or crocheted
621230,corselettes; whether or not knitted or crocheted
621290,"braces, suspenders, garters and similar articles; whether or not knitted or crocheted, n.e.c. in heading no. 6212"
621320,handkerchiefs; of cotton (not knitted or crocheted)
621390,handkerchiefs; of textile materials other than cotton (not knitted or crocheted)
621410,"shawls, scarves, mufflers, mantillas, veils and the like; of silk or silk waste (not knitted or crocheted)"
621420,"shawls, scarves, mufflers, mantillas, veils and the like; of wool or fine animal hair (not knitted or crocheted)"
621430,"shawls, scarves, mufflers, mantillas, veils and the like; of synthetic fibres (not knitted or crocheted)"
621440,"shawls, scarves, mufflers, mantillas, veils and the like; of artificial fibres (not knitted or crocheted)"
621490,"shawls, scarves, mufflers, mantillas, veils and the like; of textile materials n.e.c. in heading no. 6214 (not knitted or crocheted)"
621510,"ties, bow ties and cravats; of silk or silk waste (not knitted or crocheted)"
621520,"ties, bow ties and cravats; of man-made fibres (not knitted or crocheted)"
621590,"ties, bow ties and cravats; of textile materials other than silk or man-made fibres (not knitted or crocheted)"
621600,"gloves, mittens and mitts (not knitted or crocheted)"
621710,clothing accessories; other than those of heading no. 6212 (not knitted or crocheted)
621790,"clothing; parts of garments or of clothing accessories, other than those of heading no. 6212 (not knitted or crocheted)"
630110,blankets; electric
630120,blankets (other than electric blankets) and travelling rugs; of wool or of fine animal hair
630130,blankets (other than electric blankets) and travelling rugs; of cotton
630140,blankets (other than electric blankets) and travelling rugs; of synthetic fibres
630190,blankets and travelling rugs; n.e.c. in heading no. 6301
630210,bed linen; knitted or crocheted
630221,"bed linen; of cotton, printed, not knitted or crocheted"
630222,"bed linen; of man-made fibres, printed, not knitted or crocheted"
630229,"bed linen; of textile materials (other than cotton or man-made fibres), printed, not knitted or crocheted"
630231,"bed linen; of cotton (not printed, knitted or crocheted)"
630232,"bed linen; of man-made fibres (not printed, knitted or crocheted)"
630239,"bed linen; of textile materials other than cotton or man-made fibres (not printed, knitted or crocheted)"
630240,table linen; knitted or crocheted
630251,"table linen; of cotton, not knitted or crocheted"
630253,"table linen; of man-made fibres, not knitted or crocheted"
630259,"table linen; of textile materials (other than cotton or man-made fibres), not knitted or crocheted"
630260,"kitchen and toilet linen; of terry towelling or similar terry fabrics, of cotton"
630291,"toilet and kitchen linen; of cotton, excluding terry towelling or similar terry fabrics"
630293,toilet and kitchen linen; of man-made fibres
630299,toilet and kitchen linen; of textile materials (other than cotton or man-made fibres)
630312,"curtains (including drapes) and interior blinds; curtain or bed valances, knitted or crocheted, of synthetic fibres"
630319,"curtains (including drapes) and interior blinds; curtain or bed valances, knitted or crocheted, of textile materials other than synthetic fibres"
630391,"curtains (including drapes) and interior blinds, curtain or bed valances; of cotton, not knitted or crocheted"
630392,"curtains (including drapes) and interior blinds, curtain or bed valances; of synthetic fibres, not knitted or crocheted"
630399,"curtains (including drapes) and interior blinds, curtain or bed valances; of textile materials other than cotton or synthetic fibres, not knitted or crocheted"
630411,bedspreads; knitted or crocheted
630419,bedspreads; not knitted or crocheted
630420,"furnishing articles; excluding those of heading no. 9404, bed nets, specified in subheading note 1 to this chapter"
630491,"furnishing articles; excluding those of heading no. 9404, n.e.c. in heading 6304, knitted or crocheted"
630492,"furnishing articles; of cotton, not knitted or crocheted (excluding bedspreads and articles of heading no. 9404)"
630493,"furnishing articles; of synthetic fibres, not knitted or crocheted (excluding bedspreads and articles of heading no. 9404)"
630499,"furnishing articles; of textile materials other than cotton or synthetic fibres, not knitted or crocheted (excluding bedspreads and articles of heading no. 9404)"
630510,"sacks and bags; of a kind used for the packing of goods, of jute or of other textile bast fibres of heading no. 5303"
630520,"sacks and bags; of a kind used for the packing of goods, of cotton"
630532,"sacks and bags; of a kind used for the packing of goods, of man-made textile materials, flexible intermediate bulk containers"
630533,"sacks and bags; of a kind used for the packing of goods, of man-made textile materials, of polyethylene or polypropylene strip or the like, not flexible intermediate bulk containers"
630539,"sacks and bags; of a kind used for the packing of goods, of man-made textile materials, not of polyethylene or polypropylene strip or the like, not flexible intermediate bulk containers"
630590,"sacks and bags; of a kind used for the packing of goods, of textile materials (other than jute, cotton or man-made textile materials)"
630612,"tarpaulins, awnings and sunblinds; of synthetic fibres"
630619,"tarpaulins, awnings and sunblinds; of textile materials other than synthetic fibres"
630622,tents (including temporary canopies and similar articles); of synthetic fibres
630629,tents (including temporary canopies and similar articles); of textile materials other than synthetic fibres
630630,"sails; for boats, sailboards or landcraft"
630640,camping goods; pneumatic mattresses
630690,"camping goods; (of textile materials), n.e.c in heading no. 6306"
630710,"cloths; floor cloths, dish-cloths, dusters and similar cleaning cloths"
630720,life-jackets and life-belts
630790,"textiles; made up articles (including dress patterns), n.e.c. in chapter 63, n.e.c. in heading no. 6307"
630800,"fabrics, woven and yarn; in sets, whether or not with accessories, for making up into rugs, tapestries, embroidered table cloths or serviettes or similar textile articles, packaged for retail sale"
630900,"clothing; worn, and other worn articles"
631010,"rags; used or new, scrap twine, cordage, rope and cables and worn out articles of twine, cordage, rope or cables, of textile materials; sorted"
631090,"rags; used or new, scrap twine, cordage, rope and cables and worn out articles of twine, cordage, rope or cables, of textile materials; other than sorted"
640110,"footwear; waterproof with metal toe-cap, rubber or plastic outer soles and uppers (not assembled by stitch, rivet, nail, screw, plug or similar)"
640192,"footwear; waterproof, covering the ankle (but not the knee), rubber or plastic outer soles and uppers (not assembled by stitch, rivet, nail, screw, plug or similar)"
640199,"footwear; waterproof, n.e.c. in heading no. 6401, rubber or plastic outer soles and uppers (not assembled by stitch, rivet, nail, screw, plug or similar)"
640212,"sports footwear; with outer soles and uppers of rubber or plastics, ski-boots, cross-country ski footwear and snowboard boots"
640219,"sports footwear; (other than ski-boots, snowboard boots or cross-country ski footwear), with outer soles and uppers of rubber or plastics"
640220,"footwear; with outer soles and uppers of rubber or plastics, upper straps or thongs assembled to the sole by plugs"
640291,"footwear; n.e.c. in heading no. 6402, covering the ankle, with outer soles and uppers of rubber or plastics"
640299,"footwear; n.e.c. in heading no. 6402, (other than just covering the ankle), with outer soles and uppers of rubber or plastics"
640312,"sports footwear; with outer soles of rubber, plastics, leather or composition leather and uppers of leather, ski-boots, snowboard boots and cross-country ski footwear"
640319,"sports footwear; (other than ski-boots, snowboard boots or cross-country ski footwear), with outer soles of rubber, plastics, leather or composition leather and uppers of leather"
640320,"footwear; with outer soles of leather, uppers consisting of leather straps across instep and around the big toe"
640340,"footwear; with metal toe-cap, outer soles of rubber, plastics, leather or composition leather, uppers of leather"
640351,"footwear; n.e.c. in heading no. 6403, with outer soles and uppers of leather, covering the ankle"
640359,"footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles and uppers of leather"
640391,"footwear; n.e.c. in heading no. 6403, covering the ankle, outer soles of rubber, plastics or composition leather, uppers of leather"
640399,"footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather"
640411,"sports footwear; tennis shoes, basketball shoes, gym shoes, training shoes and the like, with outer soles of rubber or plastics and uppers of textile materials"
640419,"footwear; (other than sportswear), with outer soles of rubber or plastics and uppers of textile materials"
640420,"footwear; outer soles of leather or composition leather, uppers of textile materials"
640510,"footwear; with uppers of leather or composition leather, n.e.c. in chapter 64"
640520,"footwear; with uppers of textile materials, n.e.c. in chapter 64"
640590,footwear; n.e.c. in chapter 64
640610,"footwear; parts, uppers and parts thereof, other than stiffeners"
640620,"footwear; parts, outer soles and heels, of rubber or plastics"
640690,"footwear; parts, n.e.c. in heading 6406"
650100,"hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux and manchons (including slit manchons) of felt"
650200,"hat-shapes; plaited or made by assembling strips of any material, neither blocked to shape, nor with made brims, nor lined, nor trimmed"
650400,"hats and other headgear; plaited or made by assembling strips of any material, whether or not lined or trimmed"
650500,"hats and other headgear; knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed; hair-nets of any material, whether or not lined or trimmed"
650610,"headgear; safety, whether or not lined or trimmed"
650691,"headgear; (other than safety headgear), of rubber or plastics, whether or not lined or trimmed"
650699,"headgear; (other than safety headgear), (of materials other than rubber or plastic), whether or not lined or trimmed"
650700,"head-bands, linings, covers, hat foundations, hat frames, peaks and chinstraps; for headgear"
660110,umbrellas and sun umbrellas; garden or similar umbrellas
660191,"umbrellas and sun umbrellas; having a telescopic shaft, (excluding garden or similar umbrellas)"
660199,umbrellas and sun umbrellas; n.e.c. in heading no. 6601 (including walking stick umbrellas)
660200,"walking-sticks, seat-sticks, whips, riding-crops and the like"
660320,umbrella frames; including frames mounted on shafts (sticks)
660390,"trimmings, accessories and parts of articles of heading no. 6601 or 6602; n.e.c. in heading no. 6603"
670100,"skins and other parts of birds with their feathers or down; feathers, parts of feathers, down and articles thereof (other than goods of heading no. 0505 and worked quills and scapes)"
670210,"flowers, foliage and fruit, artificial, and parts thereof; articles made of artificial flowers, foliage or fruit, of plastics"
670290,"flowers, foliage and fruit, artificial, and parts thereof; articles made of artificial flowers, foliage or fruit, of materials other than plastics"
670300,"human hair, dressed, thinned, bleached or otherwise worked; wool or other animal hair or other textile materials, prepared for use in making wigs or the like"
670411,"wigs; complete, of synthetic textile materials"
670419,"false beards, eyebrows and eyelashes, switches and the like; of synthetic textile materials"
670420,"wigs, false beards, eyebrows and eyelashes, switches and the like and other articles n.e.c.; of human hair"
670490,"wigs, false beards, eyebrows and eyelashes, switches and the like and other articles n.e.c.; of animal hair or of textile materials other than synthetic"
680100,"stone; setts, curbstones and flagstones, of natural stone (except slate)"
680210,"tiles, cubes and similar articles; whether or not rectangular (including square), largest face of which is capable of being enclosed in square, side less than 7cm, coloured granules, chippings, powder"
680221,"marble, travertine and alabaster; simply cut or sawn, with a flat or even surface"
680223,"granite; articles thereof, simply cut or sawn, with a flat or even surface"
680229,"stone; monumental or building stone, n.e.c. in item no. 6802.2, articles thereof, simply cut or sawn, with a flat or even surface"
680291,"marble, travertine and alabaster; articles thereof, (other than simply cut or sawn, with a flat or even surface)"
680292,"stone; calcareous (excluding marble, travertine, alabaster) articles thereof, (other than simply cut or sawn, with a flat or even surface)"
680293,"granite; articles thereof, (other than simply cut or sawn, with a flat or even surface)"
680299,"stone; natural (excluding marble, travertine, alabaster, other calcareous stone or granite), monumental or building stone, (other than simply cut or sawn, with a flat or even surface)"
680300,"slate, worked; and articles of slate or of agglomerated slate"
680410,"millstones and grindstones; for milling, grinding or pulping"
680421,"millstones, grindstones, grinding wheels and the like; of agglomerated synthetic or natural diamond"
680422,"millstones, grindstones, grinding wheels and the like; of other agglomerated abrasives or of ceramics"
680423,"millstones, grindstones, grinding wheels and the like; of natural stone"
680430,"stones; hand sharpening or polishing stones, of natural stone, agglomerated natural or artificial abrasives or ceramics, with or without parts of other materials"
680510,"abrasive powder or grain; natural or artificial, on a base of woven textile fabric only, whether or not cut to shape or sewn or otherwise made up"
680520,"abrasive powder or grain; natural or artificial, on a base of paper or paperboard only, whether or not cut to shape or sewn or otherwise made up"
680530,"abrasive powder or grain; natural or artificial, on a base of materials n.e.c. in heading no. 6805, whether or not cut to shape or sewn or otherwise made up"
680610,"slag wool, rock wool and similar mineral wools (including intermixtures thereof), in bulk, sheets or rolls"
680620,"exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials (including intermixtures thereof)"
680690,"minerals; mixtures and articles of heat-insulating, sound-insulating or sound-absorbing mineral materials, other than those of heading no. 6811 or 6812 or of chapter 69"
680710,asphalt or similar material; articles (e.g. petroleum bitumen or coal tar pitch) in rolls
680790,asphalt or similar material; articles (e.g. petroleum bitumen or coal tar pitch) other than in rolls
680800,"panels, boards, tiles, blocks and the like; of vegetable fibre, of straw, shavings, chips, particles, sawdust or other waste, of wood, agglomerated with cement, plaster or other mineral binders"
680911,"plaster, or plaster compositions; boards, sheets, panels, tiles and similar articles, faced or reinforced with paper or paperboard only, not ornamented"
680919,"plaster, or plaster compositions; boards, sheets, panels, tiles and similar articles, (other than faced or reinforced with paper or paperboard only), not ornamented"
680990,plaster articles or articles of compositions based on plaster; n.e.c. in heading no. 6809
681011,"cement, concrete or artificial stone; building blocks or bricks, whether or not reinforced"
681019,"cement, concrete or artificial stone; tiles, flagstones and similar, (excluding building blocks and bricks) whether or not reinforced"
681091,"cement, concrete or artificial stone; prefabricated structural components for building or civil engineering, whether or not reinforced"
681099,"cement, concrete or artificial stone; articles (other than prefabricated structural components for building or civil engineering), whether or not reinforced, n.e.c. in heading no. 6810"
681140,"asbestos-cement; articles or the like, containing asbestos"
681181,"cellulose fibre-cement; articles or the like; corrugated sheets, not containing asbestos"
681182,"cellulose fibre-cement; articles or the like, sheets, panels, tiles and similar articles (other than corrugated sheets), not containing asbestos"
681189,"cellulose fibre-cement; articles or the like, other than corrugated sheets and other sheets, panels, tiles and similar articles, not containing asbestos"
681280,"fabricated crocidolite (blue asbestos) fibres, mixtures with a basis of crocidolite (blue asbestos), articles of crocidolite (blue asbestos), whether or not reinforced, not goods of heading 6811 or 6813"
681291,"asbestos or mixtures with a basis of asbestos (other than crocidolite); clothing, clothing accessories, footwear and headgear, whether or not reinforced, not goods of heading 6811 or 6813"
681299,"asbestos or mixtures with a basis of asbestos (other than crocidolite); fibres, mixtures or articles n.e.c. in heading no. 6812, whether or not reinforced, not goods of heading 6811 or 6813"
681320,"friction material and articles thereof (e.g. sheets, rolls, strips, segments, discs, washers, pads) not mounted; for brakes, clutches or the like, with a basis of asbestos"
681381,brake linings and pads; with a basis of mineral substances or cellulose (other than asbestos)
681389,"friction material and articles thereof (e.g. sheets, rolls, strips, segments, discs, washers, pads) not mounted; for clutches or the like (not brake linings and pads), with a basis of mineral substances or cellulose (other than asbestos)"
681410,"mica; plates, sheets and strips of agglomerated or reconstituted mica, whether or not on a support of paper, paperboard or other materials"
681490,"mica; worked mica and articles of mica (excluding plates, sheets and strips) whether or not on a support of paper, paperboard or other materials"
681511,stone or other mineral substances not elsewhere specified or included; carbon fibres for non-electrical uses
681512,stone or other mineral substances not elsewhere specified or included; fabrics of carbon fibres for non-electrical uses
681513,stone or other mineral substances not elsewhere specified or included; articles of carbon fibres for non-electrical uses
681519,stone or other mineral substances not elsewhere specified or included; non-electrical articles of graphite or carbon n.e.c. in heading 6815
681520,peat; articles of peat n.e.c. or included
681591,"stone articles and articles of other mineral substances; containing magnesite, magnesia in the form of periclase, dolomite including in the form of dolime, or chromite"
681599,stone articles and articles of other mineral substances; n.e.c. or included in heading no. 6815
690100,"bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths"
690210,"refractory bricks, blocks, tiles and similar refractory ceramic constructional goods; containing by weight, singly or together, more than 50% of the elements mg, ca or cr, expressed as mgo, cao or cr2o3"
690220,"refractory bricks, blocks, tiles and similar refractory ceramic constructional goods; containing by weight more than 50% of alumina (al2o3), of silica (sio2) or of a mixture or compound of these"
690290,"refractory bricks, blocks, tiles and similar refractory ceramic constructional goods; n.e.c. in item no. 6902.1 or 6902.2"
690310,"refractory ceramic goods; containing, by weight, more than 50% of free carbon, excluding those of siliceous fossil meals or similar earths"
690320,"refractory ceramic goods; containing by weight more than 50% of alumina or of a mixture or compound of alumina and of silica, excluding those of siliceous fossil meals or similar earths"
690390,"refractory ceramic goods; composition of which n.e.c. in heading no. 6903, other than those of siliceous fossil meals or similar earths"
690410,ceramic building bricks
690490,"ceramic flooring blocks, supports or filler tiles and the like (excluding building bricks)"
690510,ceramic roofing tiles
690590,"ceramic chimney-pots, cowls, chimney liners, architectural ornaments and other constructional goods (excluding roofing tiles)"
690600,"ceramic pipes, conduits, guttering and pipe fittings"
690721,"ceramic tiles; flags and paving, hearth or wall tiles other than those of subheadings 6907.30 and 6907.40, of a water absorption coefficient by weight not over 0.5%"
690722,"ceramic tiles; flags and paving, hearth or wall tiles other than those of subheadings 6907.30 and 6907.40, of a water absorption coefficient by weight over 0.5% but not over 10%"
690723,"ceramic tiles; flags and paving, hearth or wall tiles other than those of subheadings 6907.30 and 6907.40, of a water absorption coefficient by weight over 10%"
690730,"mosaic cubes and the like, other than those of subheading 6907.40"
690740,finishing ceramics
690911,"ceramic wares; for laboratory, chemical or other technical uses, of porcelain or china"
690912,"ceramic wares; for laboratory, chemical or other technical uses, articles having a hardness equivalent to 9 or more on the mohs scale"
690919,"ceramic wares; for laboratory, chemical or other technical uses, other than articles having a hardness equivalent to 9 or more on the mohs scale or of porcelain or china"
690990,"ceramic wares; pots, jars and similar articles of a kind used for the conveyance or packing of goods and ceramic troughs, tubs and similar receptacles used in agriculture"
691010,"ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures; of porcelain or china"
691090,"ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures; of other than porcelain or china"
691110,tableware and kitchenware; of porcelain or china
691190,"household and toilet articles; n.e.c. in heading no. 6911, of porcelain or china"
691200,"ceramic tableware, kitchenware, other household articles and toilet articles; other than of porcelain or china"
691310,"ceramic statuettes and other ornamental ceramic articles, of porcelain or china"
691390,ceramic statuettes and other ornamental ceramic articles; other than of porcelain or china
691410,ceramic articles n.e.c. in chapter 69; of porcelain or china
691490,ceramic articles n.e.c. in chapter 69; other than of porcelain or china
700100,"glass; cullet and other waste and scrap of glass, excluding glass from cathode ray tubes or other activated glass of heading 85.49, glass in the mass"
700210,"glass; unworked, in balls (other than microspheres of heading no. 7018)"
700220,"glass; unworked, in rods"
700231,"glass; unworked, in tubes, of fused quartz or other fused silica"
700232,"glass; unworked, tubes, of glass having a linear coefficient of expansion not exceeding 5 x 10 (to the minus 6), (or 0.000005) per kelvin within a temperature range of 0-300 degrees c"
700239,"glass; unworked, in tubes, other than of glass having a linear coefficient of expansion not exceeding 5 x 10 (to the minus 6, (or 0.000005) ) per kelvin within a temperature range of 0-300 degrees c, not fused quartz or other fused silica"
700312,"glass; cast glass and rolled glass, non-wired sheets, coloured through the mass (body tinted), opacified, flashed or having an absorbent, reflecting or non-reflecting layer"
700319,"glass; cast glass and rolled glass, non-wired sheets, (excluding those coloured throughout the mass (body tinted) opacified, flashed or having an absorbent or reflecting layer)"
700320,"glass; cast glass and rolled glass, wired sheets, whether or not having an absorbent or reflecting layer but not otherwise worked"
700330,"glass; cast glass and rolled glass, profiles, not otherwise worked"
700420,"glass; drawn and blown, in sheets, coloured throughout the mass (body tinted), opacified, flashed or having an absorbent, reflecting or non-reflecting layer, but not otherwise worked"
700490,"glass; drawn and blown, in sheets, (other than glass coloured throughout the mass (body tinted), opacified, flashed or having an absorbent, reflecting or non-reflecting layer)"
700510,"glass; float glass and surface ground or polished glass, in sheets, non-wired, having an absorbent reflecting or non-reflecting layer"
700521,"glass; float glass and surface ground or polished glass, in sheets, non-wired, coloured throughout the mass (body tinted), opacified, flashed or merely surface ground"
700529,"glass; float glass and surface ground or polished glass, in sheets, non-wired, (other than coloured throughout the mass (body tinted), opacified, flashed or merely surface ground)"
700530,"glass; float glass and surface ground or polished glass, in sheets, wired glass, whether or not having an absorbent or reflecting layer"
700600,"glass of heading no. 7003, 7004 or 7005; bent, edge-worked, engraved, drilled, enamelled or otherwise worked, but not framed or fitted with other materials"
700711,"glass; safety glass, toughened (tempered), of size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels"
700719,"glass; safety glass, toughened (tempered), (not of a size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels)"
700721,"glass; safety glass, laminated, of size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels"
700729,"glass; safety glass, laminated, (not of a size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels)"
700800,glass; multiple-walled insulating units of glass
700910,glass; rear-view mirrors for vehicles
700991,"glass mirrors; unframed, excluding rear-view mirrors for vehicles"
700992,"glass mirrors; framed, excluding rear-view mirrors for vehicles"
701010,"glass; ampoules, of a kind used for the conveyance or packing of goods"
701020,"glass; stoppers, lids and other closures"
701090,"glass; carboys, bottles, flasks, jars, pots, phials and other containers of glass, (not ampoules), used for the conveyance or packing of goods"
701110,"glass envelopes (including bulbs and tubes); open, and glass parts thereof, without fittings, for electric lighting"
701120,"glass envelopes (including bulbs and tubes); open, and glass parts thereof, without fittings, for cathode-ray tubes"
701190,"glass envelopes (including bulbs and tubes); open, and glass parts thereof, without fittings, other than for electric lighting and cathode-ray tubes"
701310,"glassware; of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (other than of heading no. 7010 or 7018), of glass-ceramics"
701322,"stemware drinking glasses, of lead crystal"
701328,"stemware drinking glasses, other than of lead crystal or glass-ceramics"
701333,"glassware; drinking glasses (not stemware), of lead crystal"
701337,"glassware; drinking glasses (not stemware), other than of lead crystal or glass-ceramics"
701341,"glassware of a kind used for table or kitchen purposes (not drinking glasses), of lead crystal"
701342,"glassware of a kind used for table or kitchen purposes (not drinking glasses), of glass having a linear coefficient of expansion not exceeding 5 x 10 (to the minus 6), (or 0.000005) per kelvin within a temperature range of 0-300 degrees c"
701349,"glassware of a kind used for table or kitchen purposes (not drinking glasses or of glass-ceramics), of glass n.e.c. in item no. 7013.4"
701391,"glassware; n.e.c. in heading no. 7013, of lead crystal"
701399,"glassware; n.e.c. in heading no. 7013, other than of lead crystal"
701400,"glassware; signalling, (not optically worked)"
701510,"glasses for corrective spectacles; curved, bent, hollowed or the like, not optically worked"
701590,"glasses; clock or watch and similar, glasses for non-corrective spectacles, curved, bent, hollowed etc, (not optically worked), hollow glass spheres and segments, for the manufacture of such glasses"
701610,"glass cubes and other glass smallwares; whether or not on a backing, for mosaics or similar decorative purposes"
701690,"multicellular or foam glass; in blocks, panels, plates, shells or similar forms; paving blocks, slabs, bricks and other articles of pressed or moulded glass"
701710,"glassware; laboratory, hygienic or pharmaceutical, whether or not graduated or calibrated, of fused quartz or other fused silica"
701720,"glassware; laboratory, hygienic or pharmaceutical, whether or not graduated or calibrated, having a linear co-efficient of expansion not over 5 x 10 (to the minus 6), (or 0.000005)) per kelvin with a temperature of 0-300 degrees c"
701790,"glassware; laboratory, hygienic or pharmaceutical, whether or not graduated or calibrated, of glass n.e.c. in heading no. 7017"
701810,"glass; beads, imitation pearls, imitation precious or semi-precious stones and similar glass smallwares"
701820,glass microspheres; not exceeding 1mm in diameter
701890,"glass; articles thereof, statuettes and other ornaments of lamp worked glass, other than imitation jewellery"
701911,"glass fibres; (including glass wool), chopped strands, of a length of not more than 50mm"
701912,"glass fibres; (including glass wool), rovings"
701913,"glass fibres; (including glass wool), yarns and slivers"
701914,"glass fibres; (including glass wool), mechanically bonded mats"
701915,"glass fibres; (including glass wool), chemically bonded mats"
701919,"glass fibres; (including glass wool), threads and mats, other than mechanically or chemically bonded mats"
701961,glass fibres; mechanically bonded fabrics and closed woven fabrics of rovings
701962,glass fibres; non-woven mechanically bonded fabrics and closed fabrics of rovings
701963,"glass fibres; mechanically bonded fabrics and closed woven fabrics, plain weave, of yarns, not coated or laminated (other than rovings)"
701964,"glass fibres; closed woven fabrics, plain weave, of yarns, coated or laminated, (other than rovings)"
701965,glass fibres; open woven fabrics of a width not exceeding 30cm
701966,glass fibres; open woven fabrics of a width exceeding 30cm
701969,glass fibres; fabrics n.e.c. in item no. 7019.6
701971,glass fibres; chemically bonded fabrics
701972,"glass fibres; chemically bonded fabrics, closed fabrics n.e.c. in heading 7019"
701973,"glass fibres; chemically bonded fabrics, open fabrics n.e.c. in heading 7019"
701980,glass fibres; glass wool and articles thereof
701990,glass fibres; n.e.c. in heading no. 7019
702000,glass; articles n.e.c. in chapter 70
710110,"pearls; natural, whether or not worked or graded (but not strung, mounted or set), temporarily strung for the convenience of transport"
